  [1,] -1.306648e+00
  [2,] -1.212972e+00
  [3,] -3.396017e-01
  [4,]  7.514528e-02
  [5,]  1.081988e-01
  [6,]  4.106935e-01
  [7,]  2.204548e+00
  [8,]  4.865295e-01
  [9,] -6.343054e-01
 [10,] -3.840481e-01
 [11,] -1.372740e+00
 [12,] -1.472659e+00
 [13,] -7.944326e+00
 [14,] -1.062872e+00
 [15,]  2.644395e-01
 [16,] -2.061164e+00
 [17,] -2.977365e-02
 [18,]  6.753996e-01
 [19,] -2.558145e-01
 [20,]  1.149018e+00
 [21,] -6.694745e-01
 [22,]  7.931802e+00
 [23,] -7.174500e-03
 [24,]  4.339992e+00
 [25,] -2.600265e+00
 [26,]  1.126448e+00
 [27,]  7.096943e-01
 [28,] -6.444647e-01
 [29,] -9.333449e-01
 [30,]  4.448579e-01
 [31,]  4.830854e-01
 [32,]  2.667189e+00
 [33,]  2.063140e+00
 [34,] -5.705165e+00
 [35,]  2.505705e+00
 [36,]  1.041043e+00
 [37,]  1.793120e-01
 [38,]  2.737101e-01
 [39,]  3.816655e-01
 [40,] -1.413763e+00
 [41,] -6.221246e-01
 [42,] -2.562759e+00
 [43,] -8.165524e-01
 [44,] -9.244529e+00
 [45,]  1.128462e+01
 [46,]  8.909036e-01
 [47,]  1.560756e+00
 [48,] -2.506213e+00
 [49,]  6.352884e-01
 [50,]  1.874874e+00
 [51,] -8.507289e-01
 [52,] -9.937162e-02
 [53,]  5.076254e-03
 [54,] -1.906228e+00
 [55,]  2.716174e+00
 [56,] -4.305608e-01
 [57,] -8.474136e-01
 [58,]  5.391562e-01
 [59,]  5.318012e-01
 [60,] -3.128142e+00
 [61,]  6.368728e-01
 [62,]  3.439304e+00
 [63,]  1.847945e+00
 [64,]  8.099330e-01
 [65,]  4.031639e-01
 [66,] -1.302888e+00
 [67,] -1.454159e+00
 [68,]  2.966522e-02
 [69,] -2.236418e-02
 [70,] -1.011338e-01
 [71,] -4.163069e-01
 [72,]  3.671297e-01
 [73,]  1.240974e+00
 [74,]  1.524747e+00
 [75,] -4.683084e+01
 [76,]  3.057373e+00
 [77,]  3.623392e-01
 [78,] -6.228586e-01
 [79,] -1.011313e+00
 [80,]  1.653066e+01
 [81,]  9.468284e-01
 [82,]  4.864138e-01
 [83,]  1.609890e+00
 [84,]  2.010706e+00
 [85,]  8.981086e-02
 [86,]  1.087144e+00
 [87,]  1.741449e+00
 [88,]  1.408075e+01
 [89,] -3.042592e+00
 [90,] -2.849865e+00
 [91,] -6.586287e-01
 [92,]  5.670276e+00
 [93,] -5.351510e-01
 [94,]  3.685429e-01
 [95,] -1.071388e-01
 [96,] -9.032288e+00
 [97,] -6.945129e-01
 [98,]  3.086153e+01
 [99,]  1.141335e-01
[100,]  2.115489e+00
[101,]  1.716804e-01
[102,]  5.173991e-01
[103,] -8.409094e-01
[104,]  3.867892e-02
[105,]  7.428615e+00
[106,] -4.187812e+00
[107,]  1.420589e+00
[108,]  1.560607e+01
[109,] -8.633420e+00
[110,]  6.871209e-01
[111,]  1.387457e+00
[112,] -4.211453e+00
[113,] -5.600569e-01
[114,] -1.485039e+00
[115,]  2.594253e-01
[116,]  1.351842e-01
[117,]  3.866996e+01
[118,]  1.578846e+00
[119,]  5.514793e-01
[120,] -1.006266e+00
[121,] -8.880526e-01
[122,] -1.050864e+00
[123,]  1.209747e+00
[124,]  4.083676e-01
[125,]  1.592356e+00
[126,] -6.375757e-01
[127,] -9.414153e-01
[128,]  5.845925e-01
[129,]  5.362909e-02
[130,]  1.105489e+01
[131,]  2.360544e+00
[132,]  2.740292e+00
[133,]  9.519633e-01
[134,] -3.281425e-01
[135,]  3.230681e-01
[136,] -8.098538e-01
[137,] -6.309220e-01
[138,] -9.717300e-01
[139,] -9.423381e-01
[140,]  1.146599e+00
[141,] -3.239527e-01
[142,]  8.542032e-01
[143,]  7.367331e-01
[144,] -1.408044e-01
[145,] -4.952450e+01
[146,]  2.188878e+00
[147,]  3.203551e-01
[148,]  1.473686e-01
[149,] -1.727758e-01
[150,] -5.278365e+00
[151,] -4.533816e-01
[152,] -1.090761e+00
[153,] -1.264152e+00
[154,] -1.212034e+00
[155,] -3.813506e-01
[156,]  1.971317e+00
[157,] -1.758226e+00
[158,]  4.120353e+00
[159,] -1.264185e+01
[160,]  6.774510e+00
[161,] -1.521241e-01
[162,]  3.156490e-01
[163,]  1.421981e-01
[164,] -1.888171e+00
[165,]  2.344091e-01
[166,]  6.988047e+00
[167,]  2.946733e-01
[168,] -1.293321e+00
[169,]  5.218694e-01
[170,] -2.074581e+00
[171,]  2.849666e+00
[172,] -5.150940e-01
[173,] -9.534069e-01
[174,] -3.192995e-01
[175,] -9.074738e-01
[176,] -1.618811e-01
[177,] -6.228294e-01
[178,] -3.047303e-05
[179,] -2.232427e-01
[180,]  1.661622e-01
[181,] -1.847358e+00
[182,] -3.087236e-01
[183,] -3.832025e-01
[184,]  2.329876e+00
[185,] -5.619094e-01
[186,]  8.646132e-01
[187,]  5.426415e-01
[188,] -2.871242e-01
[189,] -1.420401e+00
[190,] -2.395022e+00
[191,] -5.877955e-01
[192,] -1.463177e+00
[193,] -1.034633e+00
[194,] -4.630560e-01
[195,]  1.416953e+00
[196,]  4.201617e+00
[197,] -3.528406e+00
[198,] -5.337911e+00
[199,] -3.997057e+00
[200,] -4.759778e+00
