  [1,] -1.192687803
  [2,]  1.302464979
  [3,] -0.330241882
  [4,]  0.947531236
  [5,]  0.521394745
  [6,]  0.765409635
  [7,] -1.608619308
  [8,] -1.161450091
  [9,]  0.447473206
 [10,] -0.635557627
 [11,]  0.149234045
 [12,] -1.205392533
 [13,] -1.121363333
 [14,] -0.630061395
 [15,]  0.281336922
 [16,] -1.601199180
 [17,] -2.361232450
 [18,]  0.629020147
 [19,]  0.449610909
 [20,] -0.822384480
 [21,]  0.978357343
 [22,]  0.132102348
 [23,]  0.003904611
 [24,] -0.440205326
 [25,]  0.058003798
 [26,] -2.257777991
 [27,] -0.611015090
 [28,]  1.724495302
 [29,]  0.651489101
 [30,]  0.024863167
 [31,] -0.426520999
 [32,] -0.255916052
 [33,]  0.875104816
 [34,]  2.747143487
 [35,] -0.049291071
 [36,] -0.566629128
 [37,] -0.654217665
 [38,] -1.923712081
 [39,] -0.890572885
 [40,]  1.858570857
 [41,]  0.029748495
 [42,]  0.035395536
 [43,]  0.018134738
 [44,]  0.069304063
 [45,] -1.451234299
 [46,] -0.663523042
 [47,]  0.785140622
 [48,]  1.589221295
 [49,]  0.173760377
 [50,]  1.787089267
 [51,]  0.162379515
 [52,]  0.038798604
 [53,] -0.184318216
 [54,]  0.832032920
 [55,] -0.933287894
 [56,] -1.604837527
 [57,] -1.455447973
 [58,] -1.365828377
 [59,]  0.304248629
 [60,] -1.041942941
 [61,] -0.411797722
 [62,]  0.269218212
 [63,]  1.031570220
 [64,]  0.027392563
 [65,] -1.160575397
 [66,] -0.992704682
 [67,] -0.324097439
 [68,] -3.024650745
 [69,] -0.658314869
 [70,] -0.256257945
 [71,]  0.221496158
 [72,]  0.624203068
 [73,] -1.767280518
 [74,] -0.541219636
 [75,] -1.185113093
 [76,]  0.138393846
 [77,]  0.182081947
 [78,]  0.203612020
 [79,]  0.195283680
 [80,] -1.642845601
 [81,] -0.020389154
 [82,]  0.431753737
 [83,] -0.526411809
 [84,]  1.072003073
 [85,] -0.955380420
 [86,]  0.662420408
 [87,] -0.115266318
 [88,] -1.470573695
 [89,] -0.197710228
 [90,] -1.475528648
 [91,] -0.361693862
 [92,]  0.215007939
 [93,]  0.562867887
 [94,]  0.860237780
 [95,]  0.887418594
 [96,]  1.507523210
 [97,] -0.443124175
 [98,] -0.812996492
 [99,]  0.612257832
[100,] -1.477351181
[101,]  0.138825549
[102,] -1.202442167
[103,]  0.346551768
[104,] -0.133873329
[105,]  0.291989589
[106,] -1.197076487
[107,]  0.065171243
[108,] -0.037067744
[109,] -0.279752406
[110,]  0.632344411
[111,]  0.305339246
[112,] -1.150915205
[113,]  1.462853060
[114,]  1.061044005
[115,] -0.179741774
[116,] -0.996433672
[117,] -1.604485142
[118,] -0.586671580
[119,]  1.584272768
[120,]  1.023984819
[121,]  1.090389243
[122,]  1.554863107
[123,]  0.460791607
[124,] -0.827788888
[125,]  0.794228730
[126,] -1.119947482
[127,]  0.831486953
[128,]  0.247734016
[129,] -0.185996447
[130,]  1.384750005
[131,]  0.193274008
[132,] -0.856992459
[133,]  1.046688619
[134,]  0.401914128
[135,]  0.920038826
[136,] -1.473352306
[137,] -0.647903320
[138,]  0.292496662
[139,]  0.007357752
[140,]  0.025745981
[141,]  1.985527180
[142,] -1.332363470
[143,] -0.603661246
[144,]  0.719975110
[145,]  0.670560489
[146,] -0.333896480
[147,]  0.754013212
[148,] -0.607172246
[149,]  2.784376744
[150,]  1.740539131
[151,] -0.147128643
[152,] -0.436105437
[153,]  1.127212297
[154,]  0.405107075
[155,] -0.206709863
[156,] -0.010159636
[157,]  1.214050579
[158,] -0.457835902
[159,] -0.717808876
[160,]  1.273979457
[161,] -0.514390214
[162,] -0.058687316
[163,] -1.118427354
[164,] -1.386882977
[165,] -0.445428598
[166,]  0.765947897
[167,] -0.557725526
[168,]  0.685602547
[169,]  0.698888446
[170,]  0.724912206
[171,] -2.074388008
[172,] -1.030825580
[173,] -1.269078473
[174,]  0.088280384
[175,]  0.116552210
[176,]  0.908853785
[177,] -0.330859728
[178,]  1.254971277
[179,] -0.383245265
[180,]  0.245827481
[181,] -0.743904621
[182,]  0.469762691
[183,] -0.050089499
[184,] -1.312091607
[185,]  0.476918946
[186,] -0.574323948
[187,]  0.298835365
[188,] -1.009138278
[189,] -0.200443528
[190,]  1.976242615
[191,]  1.410754430
[192,]  0.208491606
[193,]  0.062976811
[194,]  0.490788995
[195,] -1.810751325
[196,]  1.886067331
[197,] -1.649905245
[198,] -0.141117162
[199,]  1.142945074
[200,] -3.016438160
